一: b
兔: ehdzbena
兕: dqdzben
兖: abea3aen
党: daeahdzben
兜: edzbbejzben
兢: bddzbejbddzben
入: ec
全: ecbbdb
八: ec
公: ec3a
六: abea
兮: ecbx
兰: aebbb
共: bddbea
关: aebbec
兴: aaebea
兵: edbdbea
其: bddbbbea
具: dzbbbbea
典: dzbddbea
兹: aeb33a33a
养: aebbbeced
兼: aebzbbddec
兽: aedzbdbbdzb
冀: dbfendzbdbbddbea
冁: aedzbbbdzbebddbjec
内: duea
冈: duea
冉: dudbb
册: eueub
再: bdudbb
冒: dzbbdzbbb
冕: dzbbehdzben
冗: ahew
写: ahbxb
军: ahb3bd
农: ahejec
冠: ahbbenbma
冢: ahbeleeaec
冤: ahehdzbena
冥: ahdzbbabea
冬: ehcaa
冯: afzxb
冰: afmhec
冱: afb3hb
冲: afdzbd
决: afzbec
况: afdzben
冶: af3adzb
冷: afecaha
冻: afb3mea
冼: afebdben
冽: afbehadm
净: afehzbbm
凄: afbzbbdieb
准: afedabbbdb
凇: afbdeaec3a
凉: afabdzbmea
凋: afeubdbdzb
凌: afbdbeaehc
减: afbebdzboea
凑: afbbbecbbea
凛: afabdzdzbbbbmea
凝: afenebbeahahdbec
几: ew
凡: ewa
凤: ewha
凫: euaxew
凭: edebdbew
凯: d2dzbjew
凰: ewedzbbbbdb
凳: haeecbdzbaebew
凶: ea2d
凸: dbdrb
凹: dqdzb
出: 2dd2d
击: bbd2d
凼: mhea2d
函: hmafea2d
凿: ddaebaebbd2d
刀: ue
刁: uf
刃: uea
分: ecue
切: bjue
刈: eadm
刊: bbddm
刍: ehzbb
刎: eueedm
刑: bbeddm
划: boeadm
刖: eubbdm
列: behadm
刘: abeadm
则: dzeadm
刚: dueadm
创: eaundm
初: ahdeaue
删: eueubdm
判: aebbedm
刨: euzbndm
利: ebdeadm
别: dzbuedm
刭: habdfdm
刮: ebddzbdm
到: b3abdfdm
刳: beabbxdm
制: ebbduddm
刷: zbeduddm
券: aebbecue
刹: eabmeadm
刺: bdudeadm
刻: ab3eeadm
刽: eabb3adm
刿: d2dehadm
剀: d2dzbjdm
剁: eqbdeadm
剂: abeaeddm
剃: aezbxdedm
剅: bdzbaefdm
削: daedubbdm
剌: bdzbdeadm
